row_id,order_id,customer_id,ship_date,days_until_shipment,ship_mode,product_id,quantity_ordered_new,discount,sales,profit,shipping_cost,location_id
19695,90449,32,2015-06-25,0,Regular Air,56,11,0.05,1838.85,1268.8065,4.2,30
20637,90353,33,2015-01-28,1,Regular Air,57,6,0.03,73.18,-18.19,4.98,31
22864,90354,33,2015-04-24,1,Regular Air,58,2,0.06,8.82,-24.05754,6.27,31
22865,90354,33,2015-04-25,2,Regular Air,59,9,0.07,5976.09,2583.56148,24.49,31
20216,90867,34,2015-06-12,7,Regular Air,60,16,0.07,199.76,113.415,4.98,26
20811,91174,35,2015-05-15,1,Regular Air,61,7,0.05,414.49,159.5297,10.29,28
20812,91174,36,2015-05-16,2,Regular Air,62,28,0.08,469.69,15.37140000000001,1.25,32
24783,91175,36,2015-05-25,2,Regular Air,63,41,0.05,8585.67,5924.1123,13.99,32
24132,90909,37,2015-01-31,1,Regular Air,15,11,0.05,18.75,-33.34,1.57,33
24133,90909,37,2015-02-01,2,Delivery Truck,64,1,0.1,188.51,-201.276,69.64,33
23209,90910,37,2015-06-13,1,Delivery Truck,65,13,0.06,6720.88,4637.4072,49.0,33
23210,90910,37,2015-06-13,1,Express Air,66,1,0.08,102.21,-239.5415,5.99,33
24134,90909,38,2015-02-01,2,Regular Air,67,2,0.0,31.18,21.5142,1.97,34
23719,86555,39,2015-03-14,1,Regular Air,68,1,0.05,5.84,-12.1555,5.04,35
21992,86556,40,2015-02-27,1,Regular Air,45,1,0.08,405.57,-269.0844,11.37,35
19781,86307,41,2015-01-17,0,Regular Air,69,10,0.08,285.87,-239.8656,19.99,36
19782,86307,42,2015-01-19,2,Regular Air,15,12,0.01,20.37,-53.444,1.57,37
22996,86309,43,2015-03-17,2,Regular Air,70,1,0.09,17.44,-22.12,8.78,38
21662,86311,43,2015-06-22,3,Regular Air,71,18,0.04,702.68,484.8491999999999,1.99,38
21663,86311,43,2015-06-20,1,Regular Air,72,18,0.04,67.24,18.0,1.61,38
24480,86308,44,2015-02-17,2,Regular Air,18,6,0.03,24.27,15.2745,1.49,39
24481,86308,44,2015-02-17,2,Regular Air,73,5,0.07,38.53,26.5857,1.25,39
24482,86308,44,2015-02-16,1,Delivery Truck,74,12,0.07,4910.72,-575.352,75.23,39
25949,86310,45,2015-06-10,0,Regular Air,75,19,0.1,116.8,-51.635,5.9,40
25539,88196,46,2015-01-08,1,Regular Air,76,14,0.03,205.98,107.02,5.3,41
19364,89284,47,2015-04-05,0,Regular Air,77,12,0.01,28.32,-103.7124,5.33,42
19365,89284,47,2015-04-06,1,Delivery Truck,78,6,0.03,2309.49,-124.2864,99.0,42
24869,90735,48,2015-06-22,5,Regular Air,79,16,0.03,818.81,261.444,19.99,43
21760,91365,49,2015-06-22,1,Regular Air,80,1,0.02,34.11,-10.36,8.99,44
23154,91366,50,2015-05-30,1,Regular Air,81,40,0.02,154.71,106.7499,0.71,45
3086,22147,51,2015-01-20,4,Regular Air,82,37,0.04,832.14,70.028,8.99,46
6776,48257,51,2015-04-26,4,Regular Air,83,45,0.02,221.06,-124.2805,5.42,46
24882,88475,52,2015-03-22,2,Regular Air,84,22,0.09,58.67,40.4823,0.5,47
24883,88475,52,2015-03-21,1,Regular Air,85,2,0.02,101.06,32.86,5.81,47
19423,88173,53,2015-02-09,4,Regular Air,86,12,0.07,34.97,9.59,1.01,14
19424,88173,53,2015-02-12,7,Regular Air,87,2,0.1,308.86,-655.424,3.99,14
25059,88174,54,2015-01-03,1,Regular Air,21,3,0.06,485.01,-7.580000000000041,19.99,48
18555,87765,55,2015-04-08,1,Express Air,88,4,0.06,69.96,38.06,8.99,49
21411,88503,56,2015-05-16,0,Regular Air,89,10,0.07,2716.09,-207.28,35.0,50
19325,88504,56,2015-03-08,2,Regular Air,90,5,0.06,21.34,-12.719,2.99,50
26321,88502,57,2015-02-05,1,Regular Air,91,10,0.07,17.42,-51.42,1.99,51
22613,89847,58,2015-03-28,1,Regular Air,92,10,0.06,78.54,-82.83,2.83,52
22614,89847,58,2015-03-28,1,Regular Air,93,12,0.05,605.1,25.04,18.45,52
19225,89848,58,2015-04-09,2,Regular Air,94,9,0.1,355.84,-580.32,19.99,52
22616,89847,59,2015-03-28,1,Regular Air,95,10,0.1,1346.32,928.9607999999998,8.99,53
25480,89849,59,2015-02-09,2,Regular Air,96,20,0.08,292.18,-131.6172,13.32,53
20633,91053,60,2015-06-25,1,Regular Air,97,6,0.04,66.9,24.096,5.16,54
20634,91053,60,2015-06-26,2,Express Air,98,15,0.03,43.13,6.972,1.34,54
24574,91054,60,2015-04-13,2,Regular Air,99,1,0.01,11.21,-24.246,11.15,54
21110,86639,61,2015-06-05,7,Regular Air,100,5,0.0,92.96,-92.961,3.3,55
18735,86279,62,2015-02-01,2,Regular Air,101,11,0.1,336.64,232.2816,1.99,56
24629,88753,63,2015-06-22,1,Regular Air,102,16,0.09,99.92,-204.16,9.68,57
18347,86867,64,2015-03-12,1,Regular Air,103,9,0.06,79.4,-46.115,6.19,49
18184,86869,64,2015-06-22,3,Regular Air,104,1,0.1,15.49,-20.104,6.75,49
21350,89258,65,2015-05-24,3,Regular Air,57,4,0.0,53.3,3.384000000000004,4.98,58
24842,89259,66,2015-05-26,1,Regular Air,105,3,0.01,21.93,0.3460000000000001,1.6,59
21214,90674,67,2015-05-28,1,Regular Air,76,18,0.03,267.2,122.21,5.3,53
19947,90675,67,2015-03-02,4,Express Air,106,12,0.04,86.79,-11.1332,5.16,53
24774,91194,68,2015-02-27,2,Express Air,107,10,0.04,292.37,201.7353,8.55,60
24775,91194,68,2015-02-27,2,Regular Air,108,8,0.0,682.79,-684.78,35.0,60
24763,91195,68,2015-03-07,1,Regular Air,109,20,0.06,125.77,-237.47,8.88,60
24764,91195,68,2015-03-07,1,Delivery Truck,110,12,0.09,3918.98,-2946.051,60.0,60
19401,89537,69,2015-05-25,1,Delivery Truck,111,41,0.06,1033.56,55.88800000000003,14.36,59
26015,89536,70,2015-01-05,0,Regular Air,112,6,0.04,660.03,455.4207,5.26,61
20045,90166,71,2015-01-12,2,Regular Air,113,6,0.01,49.78,34.3482,0.96,62
20046,90166,71,2015-01-11,1,Regular Air,114,5,0.06,16.62,-66.65,3.97,62
19470,90167,71,2015-06-22,2,Regular Air,115,11,0.06,517.68,35.955,3.61,62
24953,86356,72,2015-01-05,1,Delivery Truck,116,1,0.06,346.52,-489.4156,30.0,63
25833,86357,73,2015-01-11,7,Regular Air,21,3,0.05,499.31,35.31,19.99,64
19279,89083,74,2015-01-04,2,Regular Air,117,1,0.06,41.6,-14.80188,2.99,1
19127,89084,74,2015-03-22,0,Delivery Truck,118,1,0.05,1497.22,-2561.3235,29.7,1
19128,89084,74,2015-03-26,4,Regular Air,119,5,0.02,244.81,168.9189,5.09,1
19129,89084,74,2015-03-29,7,Regular Air,120,1,0.03,4.55,-6.2,1.6,1
20073,90771,75,2015-02-21,9,Regular Air,121,4,0.1,27.63,19.0647,0.49,65
20074,90771,75,2015-02-12,0,Regular Air,122,5,0.08,31.21,10.56,1.56,65
25795,91581,76,2015-03-23,1,Delivery Truck,123,8,0.01,1214.03,837.6806999999999,17.85,64
2428,17636,77,2015-02-08,4,Regular Air,124,2,0.03,7.01,-4.2,0.96,66
19380,90043,78,2015-03-04,0,Regular Air,125,1,0.06,12.18,-3.88,2.27,45
20167,90044,78,2015-02-28,1,Regular Air,126,23,0.02,950.43,551.0928,17.48,45
24926,88632,79,2015-03-07,0,Delivery Truck,127,5,0.09,2354.54,909.36,16.63,67
23562,88634,79,2015-02-07,1,Regular Air,68,20,0.07,79.06,-76.4244,5.04,67
23563,88634,79,2015-02-08,2,Regular Air,128,14,0.0,65.14,8.732,2.5,67
19445,88899,80,2015-02-20,2,Regular Air,129,23,0.01,377.44,-99.43544,13.18,68
20445,87109,81,2015-03-16,0,Regular Air,130,12,0.04,286.4,-97.28,16.87,69
24737,87110,82,2015-05-15,1,Regular Air,131,41,0.02,664.34,139.612,5.45,70
26176,86422,83,2015-03-10,1,Regular Air,132,11,0.04,220.92,152.4348,6.15,71
23312,88461,84,2015-05-09,1,Regular Air,133,14,0.08,196.41,9.862000000000007,7.59,72
24324,88460,85,2015-04-02,2,Express Air,134,1,0.07,54.08,-232.991,5.0,73
21847,90977,86,2015-04-11,1,Delivery Truck,135,7,0.05,2291.39,772.04,91.05,74
2808,20261,87,2015-05-23,3,Regular Air,136,52,0.04,318.47,81.91,1.02,75
106,646,87,2015-05-22,1,Regular Air,137,61,0.01,586.96,-10.9,3.98,75
6443,45824,88,2015-06-08,2,Regular Air,138,81,0.08,11272.77,1232.79,24.49,75
18106,86411,89,2015-05-22,1,Regular Air,137,15,0.01,144.33,2.180000000000001,3.98,76
20807,86409,90,2015-05-20,0,Express Air,139,9,0.09,270.55,67.1075,12.62,77
20808,86409,90,2015-05-23,3,Regular Air,136,13,0.04,79.62,54.9378,1.02,77
20809,86409,90,2015-05-21,1,Express Air,140,8,0.02,479.79,168.237,8.99,77
22480,86410,91,2015-06-29,0,Regular Air,141,13,0.08,108.99,-169.232,10.16,78
22052,87221,92,2015-02-26,2,Regular Air,142,16,0.02,66.81,-93.7352,6.89,79
26377,87222,92,2015-06-26,4,Regular Air,143,19,0.04,90.52,4.53,0.7,79
26378,87222,93,2015-06-27,5,Regular Air,144,13,0.06,55.97,9.78,2.26,80
19917,88103,94,2015-05-23,2,Regular Air,145,13,0.02,101.73,70.19369999999999,1.39,81
23860,88101,95,2015-02-11,1,Regular Air,146,6,0.06,37.7,-48.2195,5.19,82
22501,88102,96,2015-02-23,7,Regular Air,103,9,0.04,75.81,-63.8135,6.19,82
22502,88102,96,2015-02-20,4,Regular Air,147,4,0.07,2630.0,325.29,24.49,82
23568,88104,95,2015-06-17,4,Regular Air,148,11,0.03,333.02,-115.36,6.5,82
26099,88105,97,2015-01-28,2,Regular Air,149,5,0.02,27.76,-46.92,6.07,83
22119,87940,98,2015-01-04,2,Delivery Truck,150,15,0.09,3855.28,2660.1432,28.06,84
19357,86574,99,2015-02-19,3,Delivery Truck,7,1,0.02,192.49,-51.116,30.0,85
25467,86573,100,2015-01-06,2,Regular Air,151,7,0.05,2560.55,1766.7795,19.99,86
24539,86575,100,2015-06-09,3,Regular Air,152,11,0.01,227.67,85.875,9.54,86
18636,88598,101,2015-02-06,5,Regular Air,153,4,0.01,13.05,9.0045,0.5,87
22528,88600,102,2015-01-16,1,Regular Air,154,12,0.08,58.95,-99.7625,4.97,88
22529,88600,102,2015-01-16,1,Regular Air,155,1,0.01,3672.89,-3061.82,24.49,88
24270,88599,103,2015-02-09,5,Express Air,156,13,0.07,374.81,258.6189,1.99,89
24271,88599,103,2015-02-08,4,Regular Air,157,5,0.03,43.27,-6.71,4.82,89
22530,88600,103,2015-01-17,2,Regular Air,158,2,0.03,11.74,-0.0099999999999997,1.2,89
25811,90378,104,2015-02-18,2,Express Air,159,10,0.01,55.68,-111.72,4.62,90
21206,89375,105,2015-04-11,2,Express Air,160,5,0.1,568.24,297.45716,9.07,91
21207,89375,105,2015-04-11,2,Express Air,161,1,0.02,162.91,-564.6024,6.5,91
19874,89376,105,2015-06-06,2,Regular Air,162,1,0.09,97.65,-161.475,19.99,91
19875,89376,105,2015-06-05,1,Regular Air,163,6,0.04,1018.61,-0.81400000000001,5.26,91
20592,86075,106,2015-02-02,2,Regular Air,164,9,0.03,1145.6,790.4639999999998,12.65,92
18625,86076,106,2015-03-30,1,Regular Air,165,3,0.02,24.52,7.74,5.21,92
20432,86077,106,2015-05-26,1,Regular Air,166,20,0.05,5775.81,3985.3089,13.99,92
20433,86077,106,2015-05-26,1,Express Air,167,11,0.04,1878.24,13.95680000000002,5.0,92
20593,86075,107,2015-02-02,2,Delivery Truck,7,10,0.01,1634.67,788.79,30.0,93
23117,91555,108,2015-04-06,1,Regular Air,168,7,0.1,152.11,-107.5135,15.1,94
23118,91555,108,2015-04-07,2,Regular Air,169,5,0.04,35.97,24.8193,2.83,94
18413,87877,109,2015-04-09,0,Regular Air,170,21,0.0,85.64,-255.1689,7.01,95
18414,87877,109,2015-04-11,2,Delivery Truck,171,22,0.09,2508.15,74.0048,30.0,95
18415,87877,109,2015-04-10,1,Regular Air,172,8,0.1,225.62,109.4248,5.76,95
19322,89981,110,2015-04-23,0,Regular Air,173,13,0.02,610.65,421.3484999999999,5.1,96
19323,89981,110,2015-04-25,2,Delivery Truck,174,5,0.05,699.24,-373.09,36.09,96
19324,89981,110,2015-04-25,2,Delivery Truck,175,12,0.1,2346.03,-3465.072,110.2,96
23455,89982,111,2015-05-23,2,Regular Air,176,16,0.04,33.77,-11.2815,1.49,97
23815,89983,111,2015-03-13,1,Regular Air,177,2,0.06,172.79,-218.77,35.0,97
23926,89984,111,2015-03-25,1,Regular Air,178,5,0.06,19.66,-9.68,2.0,97
24559,89729,112,2015-06-12,1,Regular Air,179,1,0.05,7.15,-11.376,6.26,98
20628,90114,113,2015-03-02,1,Regular Air,180,2,0.07,81.9,54.90150000000001,7.47,99
25005,90115,113,2015-03-05,0,Delivery Truck,181,5,0.0,2343.34,501.51,14.7,99
22125,89112,114,2015-01-26,2,Regular Air,182,8,0.1,1774.5,875.2844,24.49,100
22126,89112,114,2015-01-26,2,Express Air,183,5,0.03,1054.69,727.7361,24.49,100
19990,90662,115,2015-02-15,3,Regular Air,184,6,0.04,878.34,606.0545999999999,13.99,90
19991,90662,115,2015-02-14,2,Regular Air,185,4,0.04,676.57,320.1,11.87,90
21006,91244,116,2015-02-10,0,Regular Air,186,16,0.02,761.16,525.2004,3.3,101
20870,91209,117,2015-02-11,0,Regular Air,187,2,0.1,8.3,-1.0712,0.99,102
20871,91209,117,2015-02-13,2,Regular Air,188,2,0.04,10.04,4.4104,0.49,102
18733,88184,118,2015-06-05,2,Regular Air,189,9,0.03,981.65,500.958,7.69,103
18645,88185,118,2015-06-30,2,Delivery Truck,190,15,0.07,1748.69,1206.5961,16.8,103
20830,89595,119,2015-01-27,1,Regular Air,191,8,0.03,119.29,82.31009999999999,5.0,104
20829,89595,120,2015-01-28,2,Regular Air,84,1,0.01,3.08,1.2236,0.5,105
24432,89596,120,2015-02-11,1,Express Air,192,9,0.01,69.46,-15.6312,6.22,105
24433,89596,120,2015-02-12,2,Regular Air,193,16,0.03,1145.72,790.5468,3.3,105
20539,90513,121,2015-01-10,3,Regular Air,194,1,0.03,79.02,-326.2316,14.52,106
26034,90514,122,2015-03-25,2,Regular Air,195,6,0.09,25.45,16.898,1.49,107
26035,90514,123,2015-03-25,2,Express Air,196,11,0.07,110.72,20.14,5.76,108
5297,37729,124,2015-01-15,0,Regular Air,103,48,0.0,447.89,-42.8536,6.19,109
6080,43079,125,2015-01-22,1,Regular Air,19,48,0.04,1420.84,-20.79,4.0,109
23297,86144,126,2015-01-15,0,Regular Air,103,12,0.0,111.97,-33.21154,6.19,110
24080,86145,127,2015-01-22,1,Regular Air,19,12,0.04,355.21,-20.79,4.0,110
25129,90538,128,2015-05-07,1,Delivery Truck,74,1,0.02,471.21,-634.8654,75.23,111
24722,90540,128,2015-06-27,2,Regular Air,173,4,0.04,182.61,87.12,5.1,111
22823,90539,129,2015-01-03,2,Regular Air,197,8,0.07,36.58,25.2402,0.71,112
24295,90540,130,2015-06-26,1,Delivery Truck,198,18,0.01,2376.12,-94.674645,51.94,113
22407,90905,131,2015-02-09,4,Regular Air,199,18,0.09,1824.33,1258.7877,2.5,114
19810,86826,132,2015-03-06,1,Regular Air,196,11,0.05,107.65,74.2785,1.39,111
18762,86827,132,2015-06-27,7,Regular Air,200,16,0.07,165.21,52.92,4.8,111
19811,86826,133,2015-03-06,1,Express Air,114,7,0.02,25.15,-66.35,3.97,115
20124,86828,133,2015-05-21,2,Delivery Truck,201,14,0.07,4285.56,1399.64,64.73,115
20125,86828,133,2015-05-19,0,Delivery Truck,202,28,0.01,631.37,232.6420000000003,45.0,115
22672,89076,134,2015-06-27,2,Regular Air,203,15,0.04,2767.95,1909.8855,0.99,116
21945,89077,134,2015-02-03,4,Express Air,129,7,0.02,123.03,-76.9925,13.18,116
21946,89077,134,2015-01-30,0,Express Air,204,10,0.09,431.84,297.9696,6.77,116
18105,86397,135,2015-06-04,2,Regular Air,205,19,0.05,252.36,134.16825,4.98,113
23735,91115,136,2015-06-13,2,Regular Air,206,10,0.0,575.07,253.3032,8.99,117
25917,91116,136,2015-06-12,0,Delivery Truck,36,14,0.04,1781.66,-723.784,54.74,117
25544,91362,137,2015-03-28,1,Regular Air,207,9,0.07,76.91,53.06789999999999,2.01,114
22745,91363,137,2015-02-28,0,Regular Air,25,15,0.05,151.34,-14.6432,6.22,114
21806,91235,138,2015-03-14,3,Regular Air,162,3,0.06,290.24,-127.56,19.99,118
21807,91235,138,2015-03-12,1,Regular Air,208,5,0.0,971.4,282.18,19.99,118
21808,91235,138,2015-03-11,0,Express Air,100,11,0.08,193.51,-96.338,3.3,118
22763,91236,139,2015-02-23,3,Regular Air,209,14,0.04,157.81,-23.35788,7.19,119
22764,91236,139,2015-02-21,1,Regular Air,210,1,0.02,19.44,-18.2416,11.25,119
22765,91236,139,2015-02-22,2,Delivery Truck,211,21,0.05,4636.63,1428.9104,28.66,119
18460,88004,140,2015-06-18,2,Delivery Truck,212,6,0.04,739.07,509.9583,14.0,120
18061,86181,141,2015-06-18,5,Regular Air,43,6,0.0,464.86,-138.0368,0.99,121
23329,90303,142,2015-06-24,2,Regular Air,213,14,0.09,288.67,199.1823,1.49,122
23471,89957,143,2015-06-15,1,Delivery Truck,214,17,0.1,2026.91,-899.675,70.2,123
21596,91328,144,2015-02-07,1,Regular Air,215,14,0.02,74.01,-56.446,4.93,124
21597,91328,144,2015-02-07,1,Regular Air,14,5,0.07,48.1,33.189,2.06,124
23147,88487,145,2015-06-25,2,Regular Air,216,18,0.0,11015.82,-367.165,24.49,125
19130,88093,146,2015-03-02,1,Regular Air,217,9,0.02,105.75,-155.21,11.25,108
19208,88094,146,2015-04-14,1,Regular Air,218,5,0.05,63.93,-6.642,6.02,108
25011,86668,147,2015-04-06,2,Regular Air,219,8,0.02,48.81,-77.82372,6.98,12
19501,90248,148,2015-04-06,0,Regular Air,220,13,0.09,158.13,-175.13,4.59,126
23750,87611,149,2015-05-26,2,Regular Air,221,22,0.06,333.04,1.616900000000001,8.4,127
23751,87611,149,2015-05-26,2,Regular Air,94,12,0.09,472.44,65.39400000000006,19.99,127
23752,87611,149,2015-05-25,1,Regular Air,222,1,0.05,18.73,1.336,6.13,127
18274,87342,150,2015-06-16,2,Regular Air,223,1,0.09,100.79,69.5451,5.81,128
21947,91043,151,2015-03-27,2,Regular Air,173,17,0.08,735.7,507.633,5.1,129
21948,91043,151,2015-03-25,0,Regular Air,224,18,0.05,225.59,38.23,3.14,129
1976,14115,152,2015-02-16,2,Regular Air,225,43,0.04,284.48,-38.38,5.41,130
5358,38080,152,2015-03-15,1,Regular Air,226,47,0.08,225.98,-56.35,4.7,130
19976,90612,153,2015-02-16,2,Regular Air,225,11,0.04,72.77,-19.9576,5.41,131
23358,90613,153,2015-03-15,1,Regular Air,226,12,0.08,57.7,-56.35,4.7,131
19751,86973,154,2015-03-10,7,Regular Air,77,9,0.08,19.67,-129.01,5.33,132
25690,91077,155,2015-03-25,1,Regular Air,227,10,0.0,514.79,-628.38,35.0,126
19481,90189,156,2015-01-24,1,Regular Air,228,5,0.0,37.89,-123.1816,8.37,133
20591,91025,157,2015-02-14,2,Regular Air,229,1,0.0,52.1,-121.05808,2.5,128
19692,87245,158,2015-06-14,2,Delivery Truck,198,1,0.04,151.46,-93.0645,51.94,134
20571,87243,159,2015-01-10,1,Regular Air,230,2,0.02,10.19,-48.236,6.89,135
19863,87244,159,2015-02-16,2,Regular Air,231,1,0.04,64.19,44.29109999999999,12.23,135
25054,89777,160,2015-05-05,1,Regular Air,232,8,0.0,52.43,3.558100000000003,4.97,136
24894,89106,161,2015-03-07,1,Regular Air,233,7,0.07,410.17,-807.89,49.0,137
19826,89944,162,2015-06-21,7,Regular Air,205,21,0.09,269.54,123.89175,4.98,138
20278,89941,163,2015-02-05,1,Regular Air,234,19,0.08,106.57,-53.898,5.67,139
20391,89939,164,2015-04-26,4,Regular Air,235,7,0.07,38.41,26.5029,0.95,140
21163,89940,164,2015-01-08,5,Regular Air,14,13,0.02,131.34,90.6246,2.06,140
20600,89942,165,2015-04-03,1,Regular Air,50,12,0.03,251.61,-20.8764,11.17,140
25498,89943,166,2015-05-12,2,Regular Air,236,21,0.06,287.99,6.483240000000002,7.51,141
25499,89943,166,2015-05-10,0,Regular Air,67,3,0.06,46.86,2.332,1.97,141
21284,87853,167,2015-01-07,1,Delivery Truck,237,8,0.04,6968.9,-13706.464,44.55,142
22843,85990,168,2015-02-07,2,Regular Air,238,19,0.01,202.38,60.5616,2.89,143
24622,85991,169,2015-04-17,2,Regular Air,239,3,0.06,56.38,-47.243088,8.51,144
24623,85991,169,2015-04-18,3,Express Air,240,12,0.1,119.13,9.154,4.78,144
19596,86958,170,2015-04-19,1,Express Air,241,7,0.1,337.59,-517.17,19.99,145
18199,86959,170,2015-05-14,2,Regular Air,242,1,0.0,10.65,-7.61,4.39,145
20551,86956,171,2015-02-20,1,Regular Air,243,9,0.0,55.13,38.0397,0.96,146
19597,86958,171,2015-04-21,3,Delivery Truck,244,2,0.07,215.32,-429.86,57.38,146
19598,86958,171,2015-04-20,2,Regular Air,245,5,0.03,382.85,264.1665,0.99,146
20553,86956,172,2015-02-20,1,Regular Air,246,7,0.02,44.8,-47.12,5.46,147
21383,86960,172,2015-01-06,0,Regular Air,247,14,0.05,100.99,-101.246,6.05,147
21384,86960,172,2015-01-11,5,Regular Air,248,7,0.04,142.06,-1.88,4.0,147
23430,86957,173,2015-03-27,2,Express Air,97,5,0.01,58.52,-11.69,5.16,148
21385,86960,173,2015-01-13,7,Regular Air,249,9,0.05,363.74,250.9806,10.55,148
21386,86960,173,2015-01-15,9,Regular Air,250,4,0.04,15.93,-57.753,6.83,148
21387,86960,173,2015-01-13,7,Regular Air,251,1,0.02,21.28,-47.97,17.78,148
